sys_time,timestamp,duration,x,y,z,rx,ry,rz,dz,total_dz,speed_mmin
2026-01-08T08:21:14.861573Z,2026-01-08T08:21:14.861573Z,9,1815.269,379.562,-22.865,-179.321,-0.118,59.346,-4.6,15.7,1.618
2026-01-08T08:21:14.881573Z,2026-01-08T08:21:14.881573Z,,1815.154,379.018,-22.062,-179.459,-0.17,59.459,,,1.654
2026-01-08T08:21:14.901573Z,2026-01-08T08:21:14.901573Z,,1815.351,379.794,-22.316,-179.363,-0.214,59.442,,,1.628
2026-01-08T08:21:14.921573Z,2026-01-08T08:21:14.921573Z,,1815.701,379.685,-22.566,-179.46,-0.075,59.488,,,1.586
2026-01-08T08:21:14.941573Z,2026-01-08T08:21:14.941573Z,,1815.421,379.846,-22.434,-179.325,-0.049,59.361,,,1.56
2026-01-08T08:21:14.961573Z,2026-01-08T08:21:14.961573Z,,1815.681,379.185,-22.959,-179.378,-0.061,59.303,,,1.529
2026-01-08T08:21:14.981573Z,2026-01-08T08:21:14.981573Z,,1815.733,379.344,-22.219,-179.417,-0.056,59.417,,,1.567
2026-01-08T08:21:15.001573Z,2026-01-08T08:21:15.001573Z,,1815.107,379.96,-22.292,-179.382,-0.073,59.38,,,1.598
2026-01-08T08:21:15.021573Z,2026-01-08T08:21:15.021573Z,,1815.45,379.003,-22.954,-179.298,-0.088,59.414,,,1.507
2026-01-08T08:21:15.041573Z,2026-01-08T08:21:15.041573Z,,1815.71,379.484,-22.269,-179.404,-0.17,59.316,,,1.536
2026-01-08T08:21:15.061573Z,2026-01-08T08:21:15.061573Z,,1815.639,379.136,-22.601,-179.384,-0.033,59.455,,,1.523
2026-01-08T08:21:15.081573Z,2026-01-08T08:21:15.081573Z,,1815.621,379.324,-22.044,-179.433,-0.126,59.377,,,1.643
2026-01-08T08:21:15.101573Z,2026-01-08T08:21:15.101573Z,,1815.295,379.867,-22.199,-179.36,-0.215,59.422,,,1.64
2026-01-08T08:21:15.121573Z,2026-01-08T08:21:15.121573Z,,1815.363,379.548,-22.828,-179.288,-0.126,59.386,,,1.664
2026-01-08T08:21:15.141573Z,2026-01-08T08:21:15.141573Z,,1815.95,379.765,-22.218,-179.323,-0.115,59.339,,,1.607
2026-01-08T08:21:15.161573Z,2026-01-08T08:21:15.161573Z,,1815.882,379.343,-22.575,-179.372,-0.091,59.322,,,1.508
2026-01-08T08:21:15.181573Z,2026-01-08T08:21:15.181573Z,,1815.327,379.143,-22.522,-179.292,-0.069,59.427,,,1.557
2026-01-08T08:21:15.201573Z,2026-01-08T08:21:15.201573Z,,1815.039,379.082,-22.052,-179.292,-0.186,59.425,,,1.56
2026-01-08T08:21:15.221573Z,2026-01-08T08:21:15.221573Z,,1815.1,379.965,-22.272,-179.293,-0.188,59.329,,,1.586
2026-01-08T08:21:15.241573Z,2026-01-08T08:21:15.241573Z,,1815.937,379.09,-22.856,-179.325,-0.211,59.388,,,1.507
2026-01-08T08:21:15.261573Z,2026-01-08T08:21:15.261573Z,,1815.388,379.154,-22.778,-179.428,-0.198,59.403,,,1.545
2026-01-08T08:21:15.281573Z,2026-01-08T08:21:15.281573Z,,1815.034,379.884,-22.766,-179.394,-0.061,59.433,,,1.583
2026-01-08T08:21:15.301573Z,2026-01-08T08:21:15.301573Z,,1815.694,379.09,-22.828,-179.349,-0.216,59.348,,,1.667
2026-01-08T08:21:15.321573Z,2026-01-08T08:21:15.321573Z,,1815.013,379.938,-22.093,-179.314,-0.167,59.303,,,1.666
2026-01-08T08:21:15.341573Z,2026-01-08T08:21:15.341573Z,,1815.063,379.46,-22.076,-179.34,-0.052,59.437,,,1.544
2026-01-08T08:21:15.361573Z,2026-01-08T08:21:15.361573Z,,1815.064,379.965,-22.101,-179.479,-0.181,59.362,,,1.557
2026-01-08T08:21:15.381573Z,2026-01-08T08:21:15.381573Z,,1815.128,379.149,-22.214,-179.402,-0.213,59.428,,,1.515
2026-01-08T08:21:15.401573Z,2026-01-08T08:21:15.401573Z,,1815.265,379.294,-22.476,-179.399,-0.111,59.345,,,1.602
2026-01-08T08:21:15.421573Z,2026-01-08T08:21:15.421573Z,,1815.49,379.304,-22.469,-179.469,-0.197,59.382,,,1.641
2026-01-08T08:21:15.441573Z,2026-01-08T08:21:15.441573Z,,1815.357,379.98,-22.334,-179.31,-0.092,59.343,,,1.632
2026-01-08T08:21:15.461573Z,2026-01-08T08:21:15.461573Z,,1815.143,379.739,-22.975,-179.416,-0.179,59.487,,,1.558
2026-01-08T08:21:15.481573Z,2026-01-08T08:21:15.481573Z,,1815.026,379.239,-22.782,-179.395,-0.114,59.416,,,1.626
2026-01-08T08:21:15.501573Z,2026-01-08T08:21:15.501573Z,,1815.445,379.298,-22.592,-179.333,-0.066,59.454,,,1.676
2026-01-08T08:21:15.521573Z,2026-01-08T08:21:15.521573Z,,1815.126,379.669,-22.736,-179.352,-0.148,59.375,,,1.538
2026-01-08T08:21:15.541573Z,2026-01-08T08:21:15.541573Z,,1815.341,379.617,-22.985,-179.451,-0.166,59.376,,,1.629
2026-01-08T08:21:15.561573Z,2026-01-08T08:21:15.561573Z,,1815.107,379.133,-22.048,-179.427,-0.095,59.296,,,1.541
2026-01-08T08:21:15.581573Z,2026-01-08T08:21:15.581573Z,,1815.074,379.497,-22.304,-179.321,-0.138,59.328,,,1.573
2026-01-08T08:21:15.601573Z,2026-01-08T08:21:15.601573Z,,1815.148,379.366,-22.436,-179.417,-0.065,59.374,,,1.516
2026-01-08T08:21:15.621573Z,2026-01-08T08:21:15.621573Z,,1815.697,379.493,-22.363,-179.393,-0.187,59.305,,,1.619
2026-01-08T08:21:15.641573Z,2026-01-08T08:21:15.641573Z,,1815.488,379.514,-22.1,-179.364,-0.122,59.483,,,1.63
2026-01-08T08:21:15.661573Z,2026-01-08T08:21:15.661573Z,,1815.987,379.872,-22.704,-179.412,-0.206,59.451,,,1.689
2026-01-08T08:21:15.681573Z,2026-01-08T08:21:15.681573Z,,1815.315,379.921,-22.697,-179.367,-0.092,59.443,,,1.676
2026-01-08T08:21:15.701573Z,2026-01-08T08:21:15.701573Z,,1815.921,379.594,-22.054,-179.295,-0.047,59.291,,,1.649
2026-01-08T08:21:15.721573Z,2026-01-08T08:21:15.721573Z,,1815.922,379.087,-22.213,-179.436,-0.058,59.424,,,1.661
2026-01-08T08:21:15.741573Z,2026-01-08T08:21:15.741573Z,,1815.274,379.682,-22.895,-179.368,-0.087,59.424,,,1.594
2026-01-08T08:21:15.761573Z,2026-01-08T08:21:15.761573Z,,1815.117,379.222,-22.492,-179.342,-0.17,59.299,,,1.525
2026-01-08T08:21:15.781573Z,2026-01-08T08:21:15.781573Z,,1815.453,379.588,-22.9,-179.337,-0.182,59.312,,,1.587
2026-01-08T08:21:15.801573Z,2026-01-08T08:21:15.801573Z,,1815.445,379.72,-22.207,-179.394,-0.222,59.433,,,1.695
2026-01-08T08:21:15.821573Z,2026-01-08T08:21:15.821573Z,,1815.607,379.875,-22.882,-179.308,-0.124,59.488,,,1.57
2026-01-08T08:21:15.841573Z,2026-01-08T08:21:15.841573Z,,1815.915,379.278,-22.333,-179.406,-0.225,59.415,,,1.513
2026-01-08T08:21:15.861573Z,2026-01-08T08:21:15.861573Z,,1815.289,379.817,-22.046,-179.334,-0.039,59.483,,,1.606
2026-01-08T08:21:15.881573Z,2026-01-08T08:21:15.881573Z,,1815.07,379.093,-22.177,-179.34,-0.15,59.346,,,1.687
2026-01-08T08:21:15.901573Z,2026-01-08T08:21:15.901573Z,,1815.47,379.678,-22.132,-179.377,-0.114,59.464,,,1.651
