sys_time,timestamp,duration,rx,rz
2026-01-08T08:21:14.861573Z,2026-01-08T08:21:14.861573Z,12.8,44.1,179
2026-01-08T08:21:14.881573Z,2026-01-08T08:21:14.881573Z,12.8,44.5,180.6
2026-01-08T08:21:14.901573Z,2026-01-08T08:21:14.901573Z,12.8,45.6,179.8
2026-01-08T08:21:14.921573Z,2026-01-08T08:21:14.921573Z,12.8,45.1,179.1
2026-01-08T08:21:14.941573Z,2026-01-08T08:21:14.941573Z,12.8,45,179.1
2026-01-08T08:21:14.961573Z,2026-01-08T08:21:14.961573Z,12.8,44.2,180.5
2026-01-08T08:21:14.981573Z,2026-01-08T08:21:14.981573Z,12.8,44.7,179.2
2026-01-08T08:21:15.001573Z,2026-01-08T08:21:15.001573Z,12.8,45.8,180.4
2026-01-08T08:21:15.021573Z,2026-01-08T08:21:15.021573Z,12.8,45.5,181
2026-01-08T08:21:15.041573Z,2026-01-08T08:21:15.041573Z,12.8,46,179.2
2026-01-08T08:21:15.061573Z,2026-01-08T08:21:15.061573Z,12.8,44.6,180.9
2026-01-08T08:21:15.081573Z,2026-01-08T08:21:15.081573Z,12.8,45.6,179.9
2026-01-08T08:21:15.101573Z,2026-01-08T08:21:15.101573Z,12.8,44.5,180.9
2026-01-08T08:21:15.121573Z,2026-01-08T08:21:15.121573Z,12.8,44,180.5
2026-01-08T08:21:15.141573Z,2026-01-08T08:21:15.141573Z,12.8,45.3,180.7
2026-01-08T08:21:15.161573Z,2026-01-08T08:21:15.161573Z,12.8,45.6,180
2026-01-08T08:21:15.181573Z,2026-01-08T08:21:15.181573Z,12.8,45,179.6
2026-01-08T08:21:15.201573Z,2026-01-08T08:21:15.201573Z,12.8,45.7,179.4
2026-01-08T08:21:15.221573Z,2026-01-08T08:21:15.221573Z,12.8,44.1,179.9
2026-01-08T08:21:15.241573Z,2026-01-08T08:21:15.241573Z,12.8,44.4,180.7
2026-01-08T08:21:15.261573Z,2026-01-08T08:21:15.261573Z,12.8,45.9,179.5
2026-01-08T08:21:15.281573Z,2026-01-08T08:21:15.281573Z,12.8,45.1,179.2
2026-01-08T08:21:15.301573Z,2026-01-08T08:21:15.301573Z,12.8,44.7,179.7
2026-01-08T08:21:15.321573Z,2026-01-08T08:21:15.321573Z,12.8,45.9,180.1
2026-01-08T08:21:15.341573Z,2026-01-08T08:21:15.341573Z,12.8,45.9,180
2026-01-08T08:21:15.361573Z,2026-01-08T08:21:15.361573Z,12.8,45.5,180.2
2026-01-08T08:21:15.401573Z,2026-01-08T08:21:15.401573Z,12.8,46,180.5
